title,artists,artist_nationality,genre,object_type,height,width,area,seller,seller_type,buyer,buyer_type,buyer_address,coordinates,purchase_date,sale_date,purchase_price,sale_price,sale_year,purchase_year
Seigneur Henry II,"GROS, LUCIEN (1845)",French,Portrait,Painting,,,,"Dousman, Hercules Louis, II",Collector,"Combe, William",Collector,"221 E. 19th St., New York, NY, USA","40.73624,-73.984538",1881-04-04,1882-01-13,500,400,1882,1881
"[""On the alert"" title info from Sales Book 4, 1879-1881, f.184]","SCHREYER, CHRISTIAN ADOLF",German,Genre,Painting,,,,Tedesco Frères,Dealer,"Garland, John A.",Collector,"25 E. 37th St., New York, NY, USA","40.749593,-73.981593",1881-04-04,1881-05-05,7500,1900,1881,1881
Jeune Cavalier Saluant,"MEISSONIER, JEAN CHARLES",French,Genre,Painting,,,,"Petit, Georges",Dealer,"Lehmann, Leo",Collector,"19 W. 27th St., New York, NY, USA","40.744551,-73.988475",1881-04-04,1881-06-06,2500,750,1881,1881
Femme près paravent,"TOULMOUCHE, AUGUSTE",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Trotter, Mary L.",Collector,"11 E. 55th St., New York, NY, USA","40.761553,-73.974558",1881-04-04,1881-05-05,6000,1600,1881,1881
Le dernier coup d'oeil,"TOULMOUCHE, AUGUSTE",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Gould, Jason (Jay)",Collector,"578 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1881-04-04,1881-05-05,6000,1750,1881,1881
"Lesendes Mädchen [""Italian girl"" title info from Sales Book 5, 1881-1885, f.2]","EPP, RUDOLF",German,Genre,Painting,,,,"Epp, Rudolf",Collector,"Seccomb, Edward A.",Collector,"126 Wilton St./68 Borad St., New York, NY, USA","40.775274,-73.981571",1881-04-04,1881-12-12,550,200,1881,1881
do [Kopf],"EPP, RUDOLF",German,Genre,Painting,,,,"Epp, Rudolf",Collector,"White, S.E., Mrs.",Collector,"51 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1881-04-04,1882-01-13,200,125,1882,1881
La Sentinelle du Sultan,"CHLEBOWSKI, STANISLAW",Polish,Genre,Painting,,,,Goupil et Cie.,Dealer,"Day, Henry M.",Collector,"E. 41st St., New York, NY, USA","40.752814,-73.981372",1881-05-05,1882-01-13,2500,750,1882,1881
Parapluie rouge,"CASANOVA Y ESTORACH, ANTONIO",Spanish,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Gould, Jason (Jay)",Collector,"578 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1881-05-05,1881-06-06,3500,1500,1881,1881
Attelage,"VEYRASSAT, JULES JACQUES",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Scott, George S.",Collector,"28 W. 57th St./24 Broad St., New York, NY, USA","40.763509,-73.9751",1881-05-05,1882-03-03,1500,450,1882,1881
do [Kopf],"MEYER, JOHANN GEORG",German,Genre,Painting,,,,"Meyer, Johann Georg",Artist,"Rockefeller, William Avery Jr.",Collector,"689 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1881-05-05,1881-07-07,1200,425,1881,1881
do [Kopf],"MEYER, JOHANN GEORG",German,Genre,Painting,,,,"Meyer, Johann Georg",Artist,"Rockefeller, William Avery Jr.",Collector,"689 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1881-05-05,1881-07-07,1200,425,1881,1881
Kinder mit Kaninchen,"SCHLESINGER, FELIX",German,Genre,Painting,,,,"Schlesinger, Felix",Collector,"May, Lewis",Collector,"17 E. 74th St., New York, NY, USA","40.773453,-73.965345",1881-05-05,1881-10-10,450,225,1881,1881
Vue Venise,"RICO ORTEGA, MARTÍN",Spanish,Landscape,Painting,,,,Bulla Frères et Jouy,Dealer,"Jesup, Morris Ketchum",Collector,"289 Madison Ave., New York, NY, USA","40.751829,-73.979965",1881-06-06,1881-06-06,4000,1350,1881,1881
do [Vue Venise],"RICO ORTEGA, MARTÍN",Spanish,Landscape,Painting,,,,Bulla Frères et Jouy,Dealer,"Garland, John A.",Collector,"office First Nat. Bank, New York, NY, USA","40.724616,-73.991633",1881-06-06,1881-06-06,4000,1200,1881,1881
Alhambra,"CONSTANT, JEAN JOSEPH BENJAMIN",French,Landscape,Painting,,,,Bulla Frères et Jouy,Dealer,"Barbour, Thomas",Collector,"15 E. 40th St., New York, NY, USA","40.752456,-73.982134",1881-06-06,1882-02-02,4200,1350,1882,1881
"[""Tyrolean view"" title info from Sales Book 3, 1874-1879, f.176]","KUWASSEG, CHARLES EUPHRASIE",French,Landscape,Painting,,,,Goupil et Cie.,Dealer,"Henop, L.P.",Collector,"52 W. 36th St., New York, NY, USA","40.750361,-73.985149",1877-01-13,1877-06-06,47.5,75,1877,1877
Femme dans un Kiosque,"GÉRÔME, JEAN LÉON",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Gould, Jason (Jay)",Collector,"579 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1881-06-06,1881-12-12,45000,11800,1881,1881
"[""The visit"" title info from Sales Book 5, 1881-1885, f.47]","BOLDINI, GIOVANNI",Italian,Genre,Painting,,,,"Tooker, Gabriel Mead",Collector,"Seney, George Ingraham",Collector,"123 Remsen St., Brooklyn, NY, USA","40.693907,-73.993812",1881-06-06,1882-04-04,1150,1200,1882,1881
"[""Landscape"" title info from Sales Book 4, 1879-1881, f.211]","DUPRÉ, JULES",French,Landscape,Painting,,,,"Myers, Angelo L.",Collector,"Garland, John A.",Collector,"25 E. 37th St., New York, NY, USA","40.749593,-73.981593",1881-06-06,1881-11-11,1760,2000,1881,1881
"[""La chute des Pelerins, Chamonix"" title info from Sales Book 3, 1874-1879, f.179]","KUWASSEG, CHARLES EUPHRASIE",French,Landscape,Painting,,,,Goupil et Cie.,Dealer,"Huntington, Arabella D., Mrs.",Collector,"4 W. 54th St., New York, NY, USA","40.761003,-73.975459",1877-01-13,1877-07-07,47.5,100,1877,1877
Aveugle & Enfant,"CHLEBOWSKI, STANISLAW",Polish,Genre,Painting,,,,Goupil et Cie.,Dealer,"Trotter, Theodore Van Antwerp",Collector,"11 E. 55th St., New York, NY, USA","40.761553,-73.974558",1881-06-06,1881-10-10,3500,950,1881,1881
Paysage arbres & Cabanes,"ROUSSEAU, THÉODORE",French,Landscape,Painting,,,,Goupil et Cie.,Dealer,"Havemeyer, Henry Osborne",Collector,"117 E. 37th St., New York, NY, USA","40.748687,-73.979264",1881-06-06,1881-12-12,8000,2200,1881,1881
Village,"ROUSSEAU, THÉODORE",French,Landscape,Painting,,,,Goupil et Cie.,Dealer,"Smith, Charles Stewart",Collector,"25 W. 37th St., New York, NY, USA","40.75074,-73.983735",1881-06-06,1881-10-10,1800,600,1881,1881
"[""Roman tambourine girl"" title info from Sales Book 5, 1881-1885, f.180]; Italienne","PERRAULT, LÉON BAZILE",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Gotthold, Frederick",Collector,"147 E. 60th St., New York, NY, USA","40.762847,-73.967565",1881-06-06,1884-07-07,4000,1050,1884,1881
"[""Outpost, winter scene"" title info from Sales Book 5, 1881-1885, f.9]","SCHREYER, CHRISTIAN ADOLF",German,Landscape,Painting,,,,Tedesco Frères,Dealer,"Perkins, B.",Collector,"41 Wall St., New York, NY, USA","40.70659,-74.009924",1881-07-07,1881-12-12,2500,650,1881,1881
Femme en Rouge,"CONSTANT, JEAN JOSEPH BENJAMIN",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Sawyer, S.A., Mrs.",Collector,"38 W. 25th St., New York, NY, USA","40.74079,-73.983812",1881-07-07,1882-04-04,1250,500,1882,1881
Jne femme aubord d'un ruisseau,"MOREAU, ADRIEN",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Halsted, R. H.",Collector,"Sherwood Bldg. 57th St., New York, NY, USA","40.762966,-73.973968",1881-08-08,1881-11-11,3675,1000,1881,1881
Dessin à la plume,"DETAILLE, JEAN BAPTISTE EDOUARD",French,,Drawing,,,,Bulla Frères et Jouy,Dealer,"Henry, Morris H.",Collector,"427 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1881-08-08,1882-01-13,420,100,1882,1881
Le nouveau né,,Italian,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Gould, Jason (Jay)",Collector,"579 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1881-08-08,1881-12-12,1350,500,1881,1881
"[""The connoisseurs"" title info from Sales Book 5, 1881-1885, f.26]","BEYLE, PIERRE-MARIE",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Flagler, Henry Morrison",Collector,"685 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1881-08-08,1882-02-02,2500,700,1882,1881
Le Cadeau de la Grand mère,"BRUCK, LAJOS",Hungarian,Genre,Painting,,,,Pitet ainé,Dealer,"Glazier, Isaac",Collector,"17 E. 67th St., New York, NY, USA","40.768886,-73.968518",1881-08-08,1881-12-12,2750,950,1881,1881
Dispute à la fontaine,"GRISON, ADOLPHE",French,Genre,Painting,,,,"Reitlinger, Frédéric, Galerie",Dealer,"Knapp, Joseph Fairchild",Collector,"84 Bedford Ave., Brooklyn, NY, USA","40.720959,-73.953805",1881-08-08,1881-10-10,5250,2000,1881,1881
L'amateur,"GRISON, ADOLPHE",French,Genre,Painting,,,,"Reitlinger, Frédéric, Galerie",Dealer,"Rochette, Charles",Collector,"37 W. 53rd St., New York, NY, USA","40.760831,-73.976423",1881-08-08,1881-10-10,750,300,1881,1881
Le poête,"JIMÉNEZ ARANDA, LUIS",Spanish,Genre,Painting,,,,"Reitlinger, Frédéric, Galerie",Dealer,"Stuart, Robert Leighton",Collector,"154 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1881-08-08,1881-12-12,7000,2000,1881,1881
La présentation,"JIMÉNEZ ARANDA, JOSÉ",Spanish,Genre,Painting,,,,"Reitlinger, Frédéric, Galerie",Dealer,"Stuart, Robert Leighton",Collector,"154 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1881-08-08,1881-12-12,7000,2000,1881,1881
Bebé dort,"ALVAREZ CATALA, LUIS",Spanish,Genre,Painting,,,,"Reitlinger, Frédéric, Galerie",Dealer,"Gould, Jason (Jay)",Collector,"579 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1881-08-08,1881-12-12,3250,900,1881,1881
Cavalier,"DETAILLE, JEAN BAPTISTE EDOUARD",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Raynor, James A.",Collector,"15 36th St., New York, NY, USA","40.749929,-73.98411",1877-01-13,1877-02-02,1750,2000,1877,1877
"Die Kleine Winzerin [""Vintage Time"" title info from Sales Book 5, 1881-1885, f.11]","MEYER, JOHANN GEORG",German,Genre,Painting,,,,"Meyer, Johann Georg",Artist,"Goelet, Ogden",Collector,"425 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1881-09-09,1881-12-12,14000,4000,1881,1881
Vaschendes [Waschendes] Madchen,"MEYER, JOHANN GEORG",German,Genre,Painting,,,,"Meyer, Johann Georg",Artist,"Ayer, Josephine Mellen Southwick",Collector,"5 W. 57th St., New York, NY, USA","40.763087,-73.974031",1881-09-09,1882-01-13,6000,2200,1882,1881
Landscape,"STADLER, TONI VON (1850)",German,Landscape,Painting,,,,"Wimmer & Co., Galleries",Dealer,"Perkins, B.",Collector,"The Cumberland/41 Wall St., New York, NY, USA","40.707756,-74.011703",1881-09-09,1881-10-10,100,50,1881,1881
Female head,"KNAUS, LUDWIG",German,Portrait,Painting,,,,"Lepke, N.L., Galleries",Dealer,"Vanderbilt, Frederick William",Collector,"693 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1881-09-09,1881-11-11,4000,1500,1881,1881
Female head,"KNAUS, LUDWIG",German,Portrait,Painting,,,,"Lepke, N.L., Galleries",Dealer,"Rutten, August",Collector,"39 W. 58th St., New York, NY, USA","40.764422,-73.974821",1881-09-09,1881-10-10,4000,1250,1881,1881
"Figure pie [""Withered leaves"" title info from Sales Book 5, 1881-1885, f.230] ce","AMBERG, WILHELM",German,Genre,Painting,,,,"Lepke, N.L., Galleries",Dealer,"Seligman, Isaac Newton",Collector,"26 E. 34th St., New York, NY, USA","40.747857,-73.983356",1881-09-09,1881-12-12,900,350,1881,1881
"[""Wallachian pack train"" title info from Sales Book 5, 1881-1885, f.5]","SCHREYER, CHRISTIAN ADOLF",German,Genre,Painting,,,,"Lepke, N.L., Galleries",Dealer,"Gould, Jason (Jay)",Collector,"579 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1881-09-09,1881-12-12,10250,3600,1881,1881
Marine,"DUPRÉ, JULES",French,Landscape,Painting,,,,"Goupil Gallery, Ltd.",Dealer,"Spencer, Albert",Collector,"156 E. 44th St., New York, NY, USA","40.752289,-73.974446",1881-09-09,1881-11-11,140,1300,1881,1881
Shepherd & Sheep,"TER MEULEN, FRANS PIETER",Dutch,Landscape; Animals,Painting,,,,"Goupil Gallery, Ltd.",Dealer,"Lynch, Miss",Collector,"129 E. 21st St., New York, NY, USA","40.742023,-73.994317",1881-09-09,1882-01-13,60,500,1882,1881
Head of a Girl,"MERLE, HUGUES",French,Portrait,Painting,,,,"Goupil Gallery, Ltd.",Dealer,"Vanderbilt, Frederick William",Collector,"693 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1881-09-09,1881-11-11,120,850,1881,1881
Winter Quarters,"PATON, FRANK",British,Genre,Painting,,,,"Goupil Gallery, Ltd.",Dealer,"Burgess, John W.",Collector,"26 Barclay St., New York, NY, USA","40.712369,-74.008852",1881-09-09,1881-11-11,75,409.64,1881,1881
La Mare,"MARCKE DE LUMMEN, EMILE VAN",French,Landscape,Painting,,,,Arnold and Tripp,Dealer,"Gould, Jason (Jay)",Collector,"579 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1881-09-09,1881-12-12,12500,3600,1881,1881
L'Orage,"MILLET, JEAN FRANÇOIS (1814)",French,Landscape,Painting,,,,Arnold and Tripp,Dealer,"Havemeyer, Henry Osborne",Collector,"117 E. 37th St., New York, NY, USA","40.748687,-73.979264",1881-09-09,1881-12-12,13000,3800,1881,1881
"Scène des Coffrets [""Portia the casket scene"" title info from Sales Book 5, 1881-1885, f.5]","CABANEL, ALEXANDRE",French,History,Painting,,,,Goupil et Cie.,Dealer,"Gould, Jason (Jay)",Collector,"579 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1881-09-09,1881-12-12,30000,10600,1881,1881
Marguerite,"JACQUET, GUSTAVE JEAN",French,History,Painting,,,,Goupil et Cie.,Dealer,"Combs, A.H.",Collector,"14 S. Portland Ave., Brooklyn, NY, USA","40.689311,-73.975124",1881-09-09,1884-03-03,5750,1500,1884,1881
Femme & patins,"KAEMMERER, FREDERIK HENDRIK",Dutch,Genre,Painting,,,,Goupil et Cie.,Dealer,"Vanderbilt, Frederick William",Collector,"693 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1881-09-09,1881-11-11,5500,1500,1881,1881
Enfant & collier,"PERRAULT, LÉON BAZILE",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Gould, Jason (Jay)",Collector,"579 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1881-09-09,1881-12-12,12000,3500,1881,1881
"[""Tete a tete"" title info from Sales Book 5, 1881-1885, f.199]; 2 vaches Couchées; 2 Vaches couchées","MARCKE DE LUMMEN, EMILE VAN",French,Landscape; Animals,Painting,,,,Goupil et Cie.,Dealer,"Chapman, Henry T. Jr.",Collector,"340 Clinton Ave., Brooklyn, NY, USA","40.687984,-73.967787",1881-09-09,1885-02-02,2500,650,1885,1881
"[""La sultana"" title info from Sales Book 5, 1881-1885, f.177]; Femme orientale; Femme Orientale","DIAZ DE LA PEÑA, NARCISSE VIRGILE",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Blumenthal, Ferdinand",Collector,"57 E. 56th St., New York, NY, USA","40.761493,-73.972479",1881-09-09,1884-06-06,8000,1500,1884,1881
Eglise St Jean à Munich,"KUEHL, GOTTHARDT",German,Landscape,Painting,,,,Goupil et Cie.,Dealer,"Breese, Eloise Lawrence",Collector,"35 E. 22nd St., New York, NY, USA","40.740212,-73.988868",1881-09-09,1882-12-12,7000,1700,1882,1881
Mélancolie,"JACQUET, GUSTAVE JEAN",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Davis, S.C.",Collector,"4 W. 33rd St., New York, NY, USA","40.747732,-73.985129",1881-09-09,1881-11-11,1800,500,1881,1881
En réflexion,"KAEMMERER, FREDERIK HENDRIK",Dutch,Genre,Painting,,,,Goupil et Cie.,Dealer,"Weld, Charles Goddard",Collector,"160 Chambers St., New York, NY, USA","40.71603,-74.010238",1881-09-09,1883-03-03,2000,500,1883,1881
Madame Edwards,"RENOIR, PIERRE AUGUSTE",French,Portrait,Painting,21.75,18.5,402.375,"Coe, Ralph M.",Collector,"Birnbaum, Martin",Dealer,"14 E. 64th St., New York, NY, USA","40.767119,-73.970086",12/12/38,12/11/43,6000,9250,1943,1938
Tete d'Enfant,"KNAUS, LUDWIG",German,Portrait,Painting,,,,Goupil et Cie.,Dealer,"Jesup, Morris Ketchum",Collector,"297 Madison Ave., New York, NY, USA","40.75214,-73.979768",1881-09-09,1881-12-12,5000,1350,1881,1881
Etude avec figure,"MARCKE DE LUMMEN, EMILE VAN",French,Portrait,Painting,,,,Goupil et Cie.,Dealer,"Weld, Charles Goddard",Collector,"160 Chambers St., New York, NY, USA","40.71603,-74.010238",1881-09-09,1883-05-05,13000,3250,1883,1881
"[""The Coronation"" title info from Sales Book 5, 1881-1885, f. 106]","DIAZ DE LA PEÑA, NARCISSE VIRGILE",French,Genre,Painting,,,,Tedesco Frères,Dealer,"Ives, Brayton C.",Collector,"10 E. 35th St., New York, NY, USA","40.7485,-73.983141",1881-09-09,1882-04-04,35000,10000,1882,1881
Bouquet de Roses,"ROBIE, JEAN BAPTISTE",Belgian,Still Life,Painting,,,,E. LeRoy & Co.,Dealer,"Connor, Washington Everett",Collector,"14 E. 14th St., New York, NY, USA","40.735656,-73.993138",1881-09-09,1884-04-04,3000,850,1884,1881
Bestiaux en Paturages,"MARCKE DE LUMMEN, EMILE VAN",French,Landscape; Animals,Painting,,,,E. LeRoy & Co.,Dealer,"Gould, Jason (Jay)",Collector,"579 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1881-09-09,1882-01-13,23500,7000,1882,1881
Bestiaux en Paturages,"HAAS, JOHANNES HUBERTUS LEONARDUS DE",Dutch,Landscape; Animals,Painting,,,,E. LeRoy & Co.,Dealer,"Ives, Brayton C.",Collector,"10 E. 35th St., New York, NY, USA","40.7485,-73.983141",1881-09-09,1881-12-12,6500,1750,1881,1881
En pénitence,"PERRAULT, LÉON BAZILE",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Raynor, James A.",Collector,"15 E. 36th St., New York, NY, USA","40.749929,-73.98411",1877-01-13,1877-02-02,1625,1800,1877,1877
4 horses coach,"KOWALSKI-WIERUSZ, ALFRED VON",Polish,Animals,Painting,,,,"Fleischmann, E.A. Fine Art Gallery",Dealer,"Morgan, Edwin Denison",Collector,"411 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1881-09-09,1881-12-12,3375,1200,1881,1881
Going to market,"KOWALSKI-WIERUSZ, ALFRED VON",Polish,Genre,Painting,,,,"Fleischmann, E.A. Fine Art Gallery",Dealer,"Bishop, Heber R.",Collector,"Buckingham Hotel Fifth Ave., New York, NY, USA","40.739874,-73.990797",1881-09-09,1881-10-10,3375,1200,1881,1881
Plaine,"ROUSSEAU, THÉODORE",French,Landscape,Painting,,,,"Petit, Georges",Dealer,"Ives, Brayton C.",Collector,"10 E. 35th St., New York, NY, USA","40.7485,-73.983141",1881-09-09,1882-05-05,32000,7000,1882,1881
La tricoteuse,"MILLET, JEAN FRANÇOIS (1814)",French,Genre,Painting,,,,"Petit, Georges",Dealer,"Spencer, Albert",Collector,"156 E. 44th St., New York, NY, USA","40.752289,-73.974446",1881-09-09,1881-11-11,24000,6500,1881,1881
vaches,"TROYON, CONSTANT",French,Landscape; Animals,Painting,,,,"Petit, Georges",Dealer,"Barger, Samuel F.",Collector,"17 W. 33rd St., New York, NY, USA","40.748042,-73.98538",1881-09-09,1882-02-02,27000,6000,1882,1881
Enfants au lezard,"DIAZ DE LA PEÑA, NARCISSE VIRGILE",French,Genre,Painting,,,,"Petit, Georges",Dealer,"Havemeyer, Henry Osborne",Collector,"19 W. 48./117 Wall St., New York, NY, USA","40.757519,-73.978383",1881-09-09,1881-10-10,42000,12500,1881,1881
grand paysage,"DIAZ DE LA PEÑA, NARCISSE VIRGILE",French,Landscape,Painting,,,,"Petit, Georges",Dealer,"Seney, George Ingraham",Collector,"123 Remsen St., Brooklyn, NY, USA","40.693907,-73.993812",1881-09-09,1882-03-03,30000,7800,1882,1881
Marriage après déjeuner; Marriage apres le Dejeuneur,"DELORT, CHARLES EDOUARD",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Garrison, Cornelius Kingsland",Collector,"40 Park Ave., New York, NY, USA","40.748526,-73.980401",1877-01-13,1880-04-04,5000,4000,1880,1877
Int. de foret,"DIAZ DE LA PEÑA, NARCISSE VIRGILE",French,Landscape,Painting,,,,"Petit, Georges",Dealer,"Havemeyer, Henry Osborne",Collector,"19 W. 48./117 Wall St., New York, NY, USA","40.757519,-73.978383",1881-09-09,1881-10-10,9000,2500,1881,1881
Surprise,"COOMANS, JOSEPH",Belgian,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Evans, Thomas Wiltberger",Collector,"548 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1881-09-09,1882-01-13,1750,700,1882,1881
à la fontaine,"RICHET, LÉON",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Bishop, Heber R.",Collector,"Buckingham Hotel Fifth Ave., New York, NY, USA","40.739874,-73.990797",1881-09-09,1881-10-10,2250,750,1881,1881
à l'aube,"THOREN, OTTO, RITTER VON",German,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Ladd, John B.",Collector,"Henry St., Brooklyn, NY, USA","40.700049,-73.991759",1881-09-09,1881-11-11,2300,650,1881,1881
Vestale,,French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Dun, Robert Graham",Collector,"261 Madison Ave., New York, NY, USA","40.750904,-73.980674",1881-09-09,1881-11-11,1500,600,1881,1881
Gouter au harem,"COMERRE, LÉON",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Rook, I.T.",Collector,"Park Avenue Hotel, New York, NY, USA","40.737732,-73.988159",1881-09-09,1881-12-12,1500,500,1881,1881
Mot d'ordre,"WALKER, JAMES ALEXANDER",British,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Harriman, Oliver",Collector,"24 W. 57th St., New York, NY, USA","40.763415,-73.974932",1881-09-09,1881-11-11,2500,750,1881,1881
moutons,"SCHENCK, AUGUST FRIEDRICH ALBRECHT",Danish,Landscape; Animals,Painting,,,,Bulla Frères et Jouy,Dealer,"Bliss, Cornelius Newton",Collector,"198 Madison Ave., New York, NY, USA","40.748432,-73.982473",1881-09-09,1882-01-13,1000,325,1882,1881
Venise,"ZIEM, FÉLIX FRANÇOIS GEORGES PHILIBERT",French,Landscape,Painting,,,,Goupil et Cie.,Dealer,"Butler, Theron R.",Collector,"433 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1877-01-13,1877-07-07,2250,3000,1877,1877
femmes Levantes,"GISBERT PÉREZ, ANTONIO",Spanish,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Stuart, Robert Leighton",Collector,"154 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1881-09-09,1881-12-12,10000,3000,1881,1881
Les Paons,"MUNKÁCSY, MIHÁLY (MICHAEL LIEB)",Hungarian,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Stuart, Robert Leighton",Collector,"154 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1881-09-09,1881-10-10,16000,5000,1881,1881
2 Coquettes,"PALMAROLI GONZÁLEZ, VICENTE",Spanish,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Dunning, Edward J., Jr.",Collector,"63 Wall St., New York, NY, USA","40.705818,-74.008669",1881-09-09,1882-08-08,8000,2000,1882,1881
Coin d'atelier,"PALMAROLI GONZÁLEZ, VICENTE",Spanish,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Vanderbilt, Frederick William",Collector,"693 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1881-09-09,1881-11-11,7500,2200,1881,1881
"[""Hearts are trumps"" title info from Sales Book 6, 1885-1892, f.206]; [Partie Piquet]; Partie Piquet","PUJOL, ALEXANDRE DENIS ABEL DE",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Cockerill, John Albert",Collector,"470 Lexington Ave., New York, NY, USA","40.753851,-73.974466",1881-09-09,1889-05-05,1200,300,1889,1881
Rentrée a la ferme,"TROYON, CONSTANT",French,Landscape,Painting,,,,Goupil et Cie.,Dealer,"Seney, George Ingraham",Collector,"123 Remsen St., Brooklyn, NY, USA","40.693907,-73.993812",1881-09-09,1882-03-03,33500,8000,1882,1881
Baigneuses,"DIAZ DE LA PEÑA, NARCISSE VIRGILE",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Seney, George Ingraham",Collector,"123 Remsen St., Brooklyn, NY, USA","40.693907,-73.993812",1881-09-09,1882-06-06,30000,9000,1882,1881
Paysage,"DIAZ DE LA PEÑA, NARCISSE VIRGILE",French,Landscape,Painting,,,,Goupil et Cie.,Dealer,"Newcomb, Horatio Victor",Collector,"683 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1881-09-09,1882-02-02,58000,17500,1882,1881
Laveuses,"DAUBIGNY, CHARLES FRANÇOIS",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Howell, Thomas A.",Collector,"269 Henry St., Brooklyn, NY, USA","40.692544,-73.99522",1881-09-09,1881-12-12,8500,2350,1881,1881
Fête du Bourguemestre,"MOREAU, ADRIEN",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Ammydown, Edward H.",Collector,"27 W. 42nd St., New York, NY, USA","40.753908,-73.981501",1881-09-09,1881-12-12,4000,1250,1881,1881
J.ne F.me avec Tambourin,"DICHIRICO, GIACOMO",Italian,Genre,Painting,,,,Goupil et Cie.,Dealer,"Rook, I.T.",Collector,"Park Avenue Hotel, New York, NY, USA","40.737732,-73.988159",1881-09-09,1881-12-12,1000,275,1881,1881
mare avec animaux,"DUPRÉ, JULES",French,Landscape; Animals,Painting,,,,Goupil et Cie.,Dealer,"Seney, George Ingraham",Collector,"123 Remsen St., Brooklyn, NY, USA","40.693907,-73.993812",1881-09-09,1882-04-04,4500,1200,1882,1881
Bouderie,"DELORT, CHARLES EDOUARD",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Clark, Louis Crawford",Collector,"Fifth Ave., New York, NY, USA","40.76457,-73.973636",1877-01-13,1881-04-04,875,750,1881,1877
Pain sec,"DEGRAVE, JULES ALEXANDRE PATROUILLARD",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Harper, Joseph Abner",Collector,"234 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1881-09-09,1882-03-03,1400,400,1882,1881
"[""On the bridal trip"" title info from Sales Book 6, 1885-1892, f.183]; [Voyage de noce]; Voyage de noce","LELOIR, LOUIS",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Phoenix, Lloyd",Collector,"21 E. 33rd St., New York, NY, USA","40.747276,-73.983998",1881-09-09,1889-01-13,12000,2000,1889,1881
